current_company,target_company,years_of_experience,current_salary,expected_salary,gender,location,current_role,sector,education,certifications,skills,current_company_tier,target_company_tier
apple,adobe,12.2,913198,1134750,Male,Chennai,Cloud Engineer,IT,PhD,PMP,Full Stack,1,1
ibm,hcl,7.0,1431787,1740754,Female,Chennai,Data Scientist,IT,Bachelor,GCP,AI,2,3
infosys,accenture,5.4,1673542,2658080,Male,Mumbai,Cloud Engineer,IT,Bachelor,Scrum Master,Cloud,3,2
virtusa,oracle,14.9,2115810,3365392,Female,Bangalore,QA Engineer,IT,Bachelor,GCP,Full Stack,4,2
zensar,ibm,14.7,1293639,1668314,Female,Chennai,DevOps Engineer,IT,Bachelor,GCP,Cloud,4,2
meta,hexaware,6.9,2875730,3615080,Male,Gurgaon,Tech Lead,IT,Master,Scrum Master,DevOps,1,4
infosys,virtusa,2.9,1938955,2858415,Male,Hyderabad,Software Developer,IT,Master,GCP,Cloud,3,4
coforge,ibm,6.9,793601,1191809,Female,Chennai,Software Developer,IT,Bachelor,PMP,AI,5,2
wipro,happiest-minds,2.6,2316462,3377670,Male,Gurgaon,QA Engineer,IT,Master,AWS,Cloud,3,5
adobe,salesforce,6.8,1509532,2321363,Male,Delhi,Cloud Engineer,IT,Master,None,Security,1,1
coforge,amazon,1.8,1005330,1400064,Male,Bangalore,Cloud Engineer,IT,Master,PMP,Security,5,1
tcs,oracle,11.7,967416,1227215,Female,Mumbai,Data Scientist,IT,Bachelor,GCP,DevOps,3,2
valuelabs,ibm,8.9,1949297,2679570,Female,Hyderabad,DevOps Engineer,IT,Master,AWS,DevOps,5,2
apple,salesforce,6.1,2476294,3662111,Male,Hyderabad,Software Developer,IT,PhD,Scrum Master,Data Engineering,1,1
virtusa,microsoft,6.0,2336658,3660805,Male,Mumbai,Senior Developer,IT,PhD,Scrum Master,DevOps,4,1
deloitte,infosys,9.4,2967871,4461464,Male,Gurgaon,Cloud Engineer,IT,PhD,None,AI,2,3
tcs,meta,8.8,2326025,3713913,Male,Pune,Data Scientist,IT,PhD,PMP,Data Engineering,3,1
amazon,sap,2.4,1527822,1884411,Male,Delhi,Senior Developer,IT,PhD,PMP,Data Engineering,1,2
adobe,linkedin,10.7,1973298,2470573,Male,Mumbai,QA Engineer,IT,Bachelor,GCP,Full Stack,1,1
sap,tcs,9.7,1816575,2667303,Female,Pune,DevOps Engineer,IT,PhD,None,Full Stack,2,3
hcl,uber,6.7,926422,1390293,Male,Chennai,Data Scientist,IT,Master,PMP,Cloud,3,1
zensar,happiest-minds,9.6,2456986,3031309,Male,Chennai,DevOps Engineer,IT,Master,PMP,Full Stack,4,5
tcs,virtusa,9.9,2863194,4557417,Male,Mumbai,Software Developer,IT,PhD,PMP,Security,3,4
microsoft,uber,12.7,2738556,3926420,Male,Pune,DevOps Engineer,IT,PhD,Azure,Security,1,1
meta,netflix,2.7,640296,949930,Male,Delhi,DevOps Engineer,IT,Master,Azure,AI,1,1
valuelabs,hexaware,2.1,2016465,2507645,Female,Pune,Data Scientist,IT,Master,Scrum Master,Data Engineering,5,4
salesforce,google,5.9,913176,1251801,Male,Hyderabad,Tech Lead,IT,Bachelor,Azure,AI,1,1
apple,google,5.5,1257353,1541555,Female,Gurgaon,Data Scientist,IT,Master,AWS,Data Engineering,1,1
netflix,ibm,9.1,2231136,3131855,Female,Mumbai,Business Analyst,IT,PhD,AWS,AI,1,2
tcs,sap,7.8,2759037,3888674,Other,Mumbai,Cloud Engineer,IT,PhD,Scrum Master,Full Stack,3,2
oracle,accenture,4.3,1138891,1743166,Male,Chennai,Senior Developer,IT,Bachelor,PMP,Cloud,2,2
tcs,uber,12.3,1951909,2493323,Male,Mumbai,QA Engineer,IT,PhD,Azure,Data Engineering,3,1
hcl,salesforce,7.2,1846329,2717287,Male,Chennai,Business Analyst,IT,PhD,AWS,Cloud,3,1
infosys,cts,10.5,1069347,1519365,Female,Bangalore,Business Analyst,IT,PhD,GCP,Cloud,3,3
netflix,apple,7.9,2764905,3714420,Female,Hyderabad,Software Developer,IT,Master,GCP,Full Stack,1,1
happiest-minds,microsoft,14.8,3508701,5075074,Male,Chennai,Business Analyst,IT,Bachelor,None,AI,5,1
apple,happiest-minds,7.9,2603836,3351320,Male,Chennai,Business Analyst,IT,PhD,PMP,Data Engineering,1,5
deloitte,valuelabs,3.6,2647365,3567343,Female,Hyderabad,DevOps Engineer,IT,Bachelor,PMP,Full Stack,2,5
uber,oracle,13.5,3059817,4391694,Male,Mumbai,DevOps Engineer,IT,PhD,Azure,AI,1,2
oracle,apple,8.5,3267004,4662425,Male,Gurgaon,Business Analyst,IT,Master,None,Security,2,1
ibm,salesforce,10.2,1930987,2867674,Male,Hyderabad,Tech Lead,IT,PhD,GCP,Full Stack,2,1
salesforce,netflix,10.5,1469762,2119028,Female,Hyderabad,Cloud Engineer,IT,Master,GCP,Full Stack,1,1
linkedin,tcs,13.9,2329805,3317475,Female,Delhi,DevOps Engineer,IT,Bachelor,GCP,DevOps,1,3
deloitte,meta,4.4,974655,1455660,Male,Delhi,Data Scientist,IT,Master,Scrum Master,DevOps,2,1
zensar,sap,9.6,3085168,4044255,Male,Gurgaon,DevOps Engineer,IT,PhD,None,AI,4,2
apple,salesforce,14.4,1555104,2258249,Female,Mumbai,Data Scientist,IT,Bachelor,Scrum Master,DevOps,1,1
sap,accenture,2.0,1765340,2382725,Male,Chennai,Senior Developer,IT,Master,Azure,AI,2,2
google,sap,12.4,1596623,2316721,Male,Pune,Software Developer,IT,Bachelor,Scrum Master,Cloud,1,2
wipro,amazon,1.7,644136,998196,Male,Pune,Business Analyst,IT,Master,Azure,AI,3,1
meta,uber,14.7,2334273,3073763,Male,Mumbai,Tech Lead,IT,PhD,PMP,Cloud,1,1
meta,adobe,14.1,1489890,2112238,Male,Gurgaon,Tech Lead,IT,Master,GCP,AI,1,1
cts,adobe,8.9,1487745,2254849,Male,Hyderabad,Business Analyst,IT,Bachelor,GCP,Full Stack,3,1
netflix,coforge,7.0,1891587,2575242,Male,Bangalore,Tech Lead,IT,Bachelor,Azure,Cloud,1,5
hexaware,wipro,2.1,3014884,4312084,Male,Hyderabad,Cloud Engineer,IT,Bachelor,AWS,Cloud,4,3
accenture,uber,11.8,1442863,1883513,Male,Bangalore,DevOps Engineer,IT,Master,AWS,Data Engineering,2,1
virtusa,adobe,2.2,1709558,2518943,Female,Hyderabad,QA Engineer,IT,PhD,PMP,DevOps,4,1
cts,valuelabs,1.2,2409665,3016365,Female,Chennai,QA Engineer,IT,Bachelor,None,AI,3,5
linkedin,amazon,9.4,2029481,3180041,Other,Hyderabad,Tech Lead,IT,Master,AWS,AI,1,1
oracle,sap,12.8,2701347,3471014,Male,Bangalore,Data Scientist,IT,Master,None,DevOps,2,2
hcl,deloitte,10.3,1332013,2081085,Female,Pune,Cloud Engineer,IT,PhD,None,DevOps,3,2
infosys,hcl,13.2,1606997,2499120,Female,Gurgaon,Business Analyst,IT,Master,PMP,Cloud,3,3
uber,netflix,3.9,1875330,2926829,Female,Hyderabad,Data Scientist,IT,PhD,AWS,AI,1,1
accenture,salesforce,8.6,2275246,3421611,Male,Hyderabad,Senior Developer,IT,Bachelor,Azure,Data Engineering,2,1
apple,salesforce,7.2,1232319,1819615,Male,Bangalore,QA Engineer,IT,Master,Scrum Master,AI,1,1
microsoft,valuelabs,9.8,3064856,3883205,Other,Chennai,Senior Developer,IT,Master,AWS,Cloud,1,5
wipro,oracle,8.2,767533,1073429,Male,Bangalore,QA Engineer,IT,Bachelor,None,DevOps,3,2
amazon,netflix,8.3,1504639,1873614,Male,Hyderabad,Business Analyst,IT,Master,GCP,Full Stack,1,1
salesforce,hcl,8.7,900583,1350984,Male,Chennai,Cloud Engineer,IT,PhD,Azure,Full Stack,1,3
uber,happiest-minds,5.1,3115513,4743384,Male,Chennai,Tech Lead,IT,Bachelor,GCP,Data Engineering,1,5
wipro,tcs,13.9,2923837,3984353,Male,Gurgaon,Data Scientist,IT,Bachelor,PMP,AI,3,3
adobe,linkedin,14.4,1586644,2473111,Male,Chennai,DevOps Engineer,IT,PhD,None,Full Stack,1,1
tcs,cts,5.2,1545553,1913818,Male,Mumbai,Tech Lead,IT,PhD,AWS,AI,3,3
microsoft,tcs,14.8,3193926,3838551,Male,Delhi,Senior Developer,IT,PhD,Azure,Security,1,3
virtusa,tcs,3.8,596516,817178,Male,Gurgaon,DevOps Engineer,IT,PhD,Scrum Master,Full Stack,4,3
virtusa,linkedin,10.1,1631624,2344426,Female,Delhi,Cloud Engineer,IT,Master,None,Cloud,4,1
meta,adobe,13.2,3167501,4195618,Male,Mumbai,Data Scientist,IT,PhD,Azure,Data Engineering,1,1
adobe,meta,1.7,1831477,2254776,Female,Gurgaon,Tech Lead,IT,Bachelor,Azure,Cloud,1,1
hexaware,ibm,10.6,2563150,3820086,Male,Gurgaon,QA Engineer,IT,Bachelor,None,DevOps,4,2
amazon,virtusa,5.1,2051283,2520265,Female,Mumbai,Software Developer,IT,Bachelor,AWS,Full Stack,1,4
virtusa,accenture,2.1,2614076,3161790,Male,Hyderabad,Data Scientist,IT,Master,GCP,Cloud,4,2
sap,adobe,9.5,3203583,4318458,Male,Bangalore,Tech Lead,IT,Bachelor,GCP,Data Engineering,2,1
happiest-minds,meta,12.3,1864173,2894988,Female,Chennai,QA Engineer,IT,Master,Azure,DevOps,5,1
apple,adobe,5.2,1508405,2150076,Male,Mumbai,Data Scientist,IT,Bachelor,AWS,Data Engineering,1,1
amazon,happiest-minds,3.8,1694640,2048709,Male,Bangalore,Senior Developer,IT,PhD,PMP,Cloud,1,5
oracle,valuelabs,10.0,3347396,5286135,Male,Pune,DevOps Engineer,IT,PhD,None,DevOps,2,5
happiest-minds,adobe,5.6,2262447,2741439,Female,Gurgaon,Data Scientist,IT,Bachelor,None,Security,5,1
virtusa,wipro,12.3,3285403,5056190,Male,Bangalore,QA Engineer,IT,Master,None,DevOps,4,3
hexaware,virtusa,5.4,760709,1084161,Female,Gurgaon,Data Scientist,IT,PhD,AWS,Full Stack,4,4
infosys,virtusa,12.9,2292485,3448578,Male,Gurgaon,Tech Lead,IT,PhD,GCP,Full Stack,3,4
accenture,deloitte,1.9,2923356,4346331,Female,Hyderabad,Software Developer,IT,PhD,Azure,Full Stack,2,2
oracle,cts,4.7,911053,1332246,Female,Bangalore,Cloud Engineer,IT,PhD,PMP,Cloud,2,3
accenture,ibm,8.5,820705,1190392,Male,Delhi,Data Scientist,IT,Bachelor,Scrum Master,DevOps,2,2
valuelabs,sap,4.6,1054493,1621945,Female,Gurgaon,Data Scientist,IT,Bachelor,None,Security,5,2
happiest-minds,salesforce,3.7,2760034,4122948,Male,Delhi,Business Analyst,IT,PhD,None,Full Stack,5,1
tcs,accenture,11.9,1865203,2832028,Male,Bangalore,Cloud Engineer,IT,Master,None,Data Engineering,3,2
zensar,oracle,7.2,2856338,4408864,Female,Hyderabad,DevOps Engineer,IT,Master,GCP,DevOps,4,2
zensar,happiest-minds,5.3,1966603,2815153,Male,Mumbai,Tech Lead,IT,Master,GCP,DevOps,4,5
coforge,hexaware,11.1,3135656,3807949,Male,Hyderabad,Tech Lead,IT,PhD,AWS,AI,5,4
happiest-minds,linkedin,3.9,1776690,2750219,Male,Hyderabad,Tech Lead,IT,Bachelor,PMP,DevOps,5,1
google,coforge,4.0,1924497,3006917,Female,Chennai,Tech Lead,IT,Bachelor,None,Full Stack,1,5
virtusa,ibm,10.2,1973192,2938556,Male,Gurgaon,DevOps Engineer,IT,Master,PMP,Full Stack,4,2
tcs,hexaware,1.5,1432491,2267304,Female,Gurgaon,Tech Lead,IT,Bachelor,AWS,Data Engineering,3,4
hexaware,wipro,1.9,1856582,2721803,Male,Chennai,Tech Lead,IT,Bachelor,None,Data Engineering,4,3
hcl,uber,13.8,1326143,1784929,Female,Chennai,Tech Lead,IT,PhD,GCP,DevOps,3,1
sap,adobe,11.7,2399777,3083071,Female,Delhi,Senior Developer,IT,Bachelor,Azure,DevOps,2,1
valuelabs,uber,8.6,1334634,1641282,Male,Chennai,DevOps Engineer,IT,PhD,AWS,Security,5,1
happiest-minds,oracle,7.2,2510546,3460774,Male,Delhi,Senior Developer,IT,Bachelor,None,AI,5,2
google,ibm,1.6,2480103,3941218,Male,Hyderabad,Business Analyst,IT,Bachelor,Azure,DevOps,1,2
virtusa,google,5.6,1208667,1496839,Male,Hyderabad,Business Analyst,IT,Master,AWS,AI,4,1
hcl,tcs,2.1,1603608,2551612,Male,Bangalore,Software Developer,IT,Bachelor,None,Data Engineering,3,3
infosys,valuelabs,5.7,1218105,1776498,Male,Delhi,QA Engineer,IT,Master,None,DevOps,3,5
zensar,ibm,5.6,2708494,3526184,Male,Chennai,Software Developer,IT,PhD,PMP,Security,4,2
infosys,amazon,7.4,1597614,2363814,Female,Bangalore,Cloud Engineer,IT,Bachelor,Azure,AI,3,1
meta,infosys,7.1,1451505,2311792,Male,Gurgaon,Business Analyst,IT,PhD,PMP,DevOps,1,3
microsoft,hexaware,4.0,1217489,1573404,Male,Mumbai,QA Engineer,IT,PhD,AWS,DevOps,1,4
deloitte,tcs,10.4,1470361,1991465,Male,Delhi,DevOps Engineer,IT,PhD,GCP,AI,2,3
tcs,zensar,12.8,3165941,4786286,Male,Hyderabad,DevOps Engineer,IT,Bachelor,Azure,Cloud,3,4
deloitte,uber,14.1,2474490,3525943,Male,Delhi,Cloud Engineer,IT,Bachelor,PMP,Data Engineering,2,1
valuelabs,ibm,4.1,1989735,2758042,Male,Mumbai,Senior Developer,IT,Master,None,AI,5,2
cts,hexaware,6.0,2161199,3396026,Male,Mumbai,Software Developer,IT,PhD,PMP,DevOps,3,4
accenture,deloitte,10.0,2969895,3760191,Male,Hyderabad,DevOps Engineer,IT,Bachelor,Scrum Master,Cloud,2,2
cts,hexaware,13.2,2161722,2887724,Female,Chennai,Cloud Engineer,IT,Master,Azure,Cloud,3,4
google,adobe,8.9,2235103,2920314,Male,Chennai,Data Scientist,IT,Bachelor,PMP,Cloud,1,1
uber,virtusa,1.4,1367599,1670221,Male,Hyderabad,Software Developer,IT,PhD,GCP,Full Stack,1,4
meta,wipro,7.9,2553971,3224665,Male,Pune,Software Developer,IT,PhD,Azure,Data Engineering,1,3
linkedin,salesforce,5.6,2330669,3561465,Female,Mumbai,DevOps Engineer,IT,Master,AWS,Security,1,1
linkedin,deloitte,7.6,2565326,3825817,Male,Hyderabad,Data Scientist,IT,PhD,GCP,Security,1,2
meta,hcl,4.7,2255617,3331089,Male,Delhi,Data Scientist,IT,Bachelor,Azure,DevOps,1,3
infosys,happiest-minds,4.6,3106345,4669637,Male,Chennai,QA Engineer,IT,PhD,None,Cloud,3,5
amazon,hcl,4.5,1226836,1627529,Male,Mumbai,DevOps Engineer,IT,PhD,GCP,Security,1,3
infosys,linkedin,12.3,1822578,2630739,Male,Mumbai,Software Developer,IT,Bachelor,Scrum Master,Data Engineering,3,1
meta,accenture,12.9,1094011,1357634,Male,Chennai,QA Engineer,IT,PhD,AWS,Security,1,2
amazon,adobe,12.7,982727,1422410,Male,Chennai,Data Scientist,IT,Master,GCP,DevOps,1,1
wipro,deloitte,14.2,3340535,4733561,Male,Delhi,DevOps Engineer,IT,PhD,GCP,Data Engineering,3,2
happiest-minds,zensar,12.7,3133922,3760919,Male,Bangalore,Data Scientist,IT,Master,Azure,Data Engineering,5,4
ibm,google,12.0,2942906,4184063,Male,Pune,Business Analyst,IT,PhD,AWS,Security,2,1
virtusa,uber,10.7,1101019,1383150,Female,Mumbai,Business Analyst,IT,Bachelor,PMP,Data Engineering,4,1
deloitte,cts,13.0,1081823,1480773,Female,Mumbai,QA Engineer,IT,Bachelor,PMP,Full Stack,2,3
amazon,accenture,4.1,1868626,2676676,Male,Hyderabad,Data Scientist,IT,Bachelor,AWS,Data Engineering,1,2
amazon,oracle,6.1,2062514,2617041,Female,Hyderabad,Tech Lead,IT,Bachelor,GCP,Security,1,2
meta,netflix,10.2,2989611,4265735,Male,Gurgaon,Data Scientist,IT,Master,None,Full Stack,1,1
oracle,deloitte,12.5,2864672,3556706,Female,Gurgaon,Business Analyst,IT,Master,Azure,Security,2,2
deloitte,valuelabs,4.7,1943353,2952966,Female,Pune,DevOps Engineer,IT,PhD,GCP,Full Stack,2,5
sap,tcs,14.2,1509528,2074074,Male,Delhi,Software Developer,IT,Master,Scrum Master,AI,2,3
apple,accenture,10.0,1426366,2028351,Male,Hyderabad,Business Analyst,IT,Bachelor,Scrum Master,Cloud,1,2
coforge,adobe,12.8,1389655,1960265,Female,Chennai,Cloud Engineer,IT,PhD,GCP,AI,5,1
amazon,valuelabs,3.5,1069936,1388332,Male,Gurgaon,Business Analyst,IT,Bachelor,AWS,DevOps,1,5
linkedin,adobe,7.7,1080257,1309186,Female,Hyderabad,Data Scientist,IT,Bachelor,AWS,Full Stack,1,1
netflix,zensar,9.0,1210288,1611646,Male,Gurgaon,Cloud Engineer,IT,Master,Azure,Data Engineering,1,4
valuelabs,adobe,5.2,846543,1147706,Female,Mumbai,Software Developer,IT,Bachelor,PMP,Cloud,5,1
amazon,uber,7.7,2814706,4407791,Male,Gurgaon,Business Analyst,IT,PhD,PMP,Cloud,1,1
cts,ibm,10.2,922242,1380486,Male,Hyderabad,Cloud Engineer,IT,PhD,Scrum Master,Security,3,2
zensar,sap,14.9,3065944,3905973,Male,Mumbai,QA Engineer,IT,Bachelor,Azure,AI,4,2
google,salesforce,9.3,829889,1313879,Male,Mumbai,Software Developer,IT,PhD,None,DevOps,1,1
microsoft,salesforce,8.5,1458454,1867099,Female,Mumbai,DevOps Engineer,IT,Master,None,Data Engineering,1,1
coforge,happiest-minds,1.2,630871,997772,Male,Hyderabad,Business Analyst,IT,PhD,Scrum Master,Security,5,5
coforge,sap,4.3,1335747,1876318,Male,Pune,Business Analyst,IT,Master,PMP,DevOps,5,2
apple,oracle,1.0,2865976,3721892,Male,Hyderabad,Software Developer,IT,Bachelor,None,DevOps,1,2
sap,meta,3.8,2384777,3795658,Male,Gurgaon,Senior Developer,IT,PhD,Scrum Master,DevOps,2,1
hcl,tcs,13.0,3317270,4046993,Other,Bangalore,Senior Developer,IT,Master,AWS,DevOps,3,3
apple,google,1.6,1525082,2181142,Male,Gurgaon,Business Analyst,IT,Bachelor,AWS,Security,1,1
tcs,amazon,11.7,2462063,3063544,Male,Delhi,Senior Developer,IT,Master,GCP,Security,3,1
wipro,valuelabs,13.5,1284766,1544865,Female,Bangalore,Data Scientist,IT,PhD,PMP,AI,3,5
netflix,microsoft,14.1,3356860,5204562,Male,Chennai,Tech Lead,IT,Master,Azure,AI,1,1
wipro,cts,7.2,2238944,2690965,Female,Gurgaon,Data Scientist,IT,Master,Scrum Master,Security,3,3
deloitte,virtusa,7.0,1870648,2502106,Male,Delhi,DevOps Engineer,IT,PhD,Scrum Master,Security,2,4
ibm,valuelabs,9.9,1269247,1585727,Male,Mumbai,Business Analyst,IT,PhD,AWS,DevOps,2,5
meta,adobe,9.9,1890026,2800391,Male,Gurgaon,Tech Lead,IT,PhD,None,Full Stack,1,1
hexaware,amazon,11.0,1040368,1655397,Male,Pune,Senior Developer,IT,Bachelor,None,AI,4,1
happiest-minds,valuelabs,13.3,1037301,1467897,Male,Pune,DevOps Engineer,IT,PhD,PMP,Security,5,5
amazon,infosys,8.7,3323202,4131457,Male,Gurgaon,DevOps Engineer,IT,Bachelor,PMP,AI,1,3
zensar,uber,13.9,2756920,3875917,Male,Chennai,Data Scientist,IT,PhD,AWS,Full Stack,4,1
meta,apple,14.2,3527456,5044380,Female,Delhi,Cloud Engineer,IT,Bachelor,Azure,Security,1,1
zensar,apple,6.2,2799406,4257941,Male,Mumbai,Data Scientist,IT,Bachelor,AWS,Data Engineering,4,1
infosys,sap,14.5,1806972,2632074,Female,Delhi,Cloud Engineer,IT,Bachelor,GCP,Data Engineering,3,2
apple,adobe,6.9,2084752,3137131,Female,Chennai,QA Engineer,IT,PhD,None,AI,1,1
oracle,infosys,2.8,1573319,2235452,Other,Pune,Senior Developer,IT,Master,None,Security,2,3
deloitte,hcl,8.0,1197018,1790258,Male,Delhi,Senior Developer,IT,PhD,GCP,Security,2,3
apple,deloitte,2.9,1522327,1855914,Male,Gurgaon,Senior Developer,IT,PhD,Azure,Security,1,2
tcs,cts,3.7,2899594,4313925,Male,Delhi,Senior Developer,IT,Bachelor,Scrum Master,Cloud,3,3
adobe,zensar,8.8,1349523,1811183,Male,Gurgaon,Cloud Engineer,IT,Master,GCP,Full Stack,1,4
apple,deloitte,2.7,2726077,3328916,Female,Bangalore,QA Engineer,IT,PhD,AWS,AI,1,2
adobe,virtusa,13.6,3337701,4670468,Female,Delhi,Tech Lead,IT,Master,Azure,Security,1,4
microsoft,wipro,8.1,1311727,1763445,Male,Chennai,Senior Developer,IT,Master,Azure,Security,1,3
uber,accenture,3.6,2727732,4068313,Female,Pune,Tech Lead,IT,PhD,AWS,Full Stack,1,2
linkedin,tcs,5.5,1716590,2161748,Male,Hyderabad,Senior Developer,IT,Master,None,Full Stack,1,3
sap,adobe,2.6,2169072,3332471,Male,Bangalore,Tech Lead,IT,PhD,Scrum Master,Security,2,1
accenture,linkedin,8.7,2402315,3194422,Female,Chennai,Cloud Engineer,IT,Master,GCP,Full Stack,2,1
happiest-minds,accenture,6.2,3004870,4024681,Male,Delhi,QA Engineer,IT,Master,Azure,AI,5,2
hcl,virtusa,3.1,1084765,1690683,Female,Hyderabad,Data Scientist,IT,PhD,GCP,AI,3,4
adobe,salesforce,11.7,866386,1047788,Female,Bangalore,Cloud Engineer,IT,PhD,PMP,Security,1,1
salesforce,linkedin,14.7,1701123,2606740,Male,Chennai,Tech Lead,IT,Bachelor,GCP,Full Stack,1,1
apple,virtusa,10.1,1681337,2430139,Male,Pune,Tech Lead,IT,Bachelor,GCP,Cloud,1,4
ibm,hexaware,9.9,1784624,2371925,Male,Pune,DevOps Engineer,IT,Master,Azure,AI,2,4
tcs,hcl,3.2,1201425,1712560,Female,Gurgaon,Business Analyst,IT,PhD,PMP,Cloud,3,3
uber,google,2.6,1538912,2331562,Male,Mumbai,DevOps Engineer,IT,Bachelor,AWS,Security,1,1
netflix,hexaware,5.7,1337092,1862230,Male,Pune,Tech Lead,IT,Bachelor,GCP,Full Stack,1,4
cts,linkedin,6.4,1058931,1545624,Male,Delhi,Software Developer,IT,PhD,None,Full Stack,3,1
netflix,cts,5.5,898963,1395546,Male,Delhi,Data Scientist,IT,Master,PMP,Security,1,3
uber,ibm,11.8,2052001,2834904,Male,Chennai,QA Engineer,IT,PhD,None,Security,1,2
ibm,infosys,4.5,1650916,2266847,Male,Bangalore,Senior Developer,IT,Bachelor,Azure,AI,2,3
coforge,microsoft,11.6,2680453,3269356,Male,Delhi,Senior Developer,IT,PhD,GCP,DevOps,5,1
